Name,Address,City,State,Zip,Phone,Website,Type,Total Courts,Indoor,Outdoor
Robertson Recreation Center,1641 Preuss Rd,Los Angeles,CA,90035,(310) 278-5383,https://www.laparks.org/pickleball,Indoor,1,1,0
St Andrews Recreation Center,8701 St Andrews Place,Los Angeles,CA,90047,(213) 485-1751,https://www.laparks.org/pickleball,Outdoor,1,0,1
Stoner Recreation Center,1835 Stoner Ave,Los Angeles,CA,90025,(310) 479-7200,https://www.laparks.org/pickleball,Indoor,1,1,0
Barnes Park,350 S. McPherrin Ave,Monterey Park,CA,91754,(626) 307-1388,https://www.montereypark.ca.gov/facilities/facility/details/Barnes-Park-3,Both,6,2,6
Bonita Canyon Sports Park,1641 Ford Rd,Newport Beach,CA,92660,,,Outdoor,4,0,4
Jane and Bert Boeckmann Park,11930 Mason Ave,Porter Ranch,CA,91326,,https://www.laparks.org/pickleball,Outdoor,4,0,4
Anderson Memorial Senior Citizen Center,828 S. Mesa St,San Pedro,CA,90731,(310) 548-7596,https://www.laparks.org/pickleball,Both,2,1,1
Peck Park Community Center,560 N Western Ave,San Pedro,CA,90732,(310) 548-7580,https://www.laparks.org/pickleball,Outdoor,8,0,8
Memorial Park,1401 Olympic Blvd,Santa Monica,CA,90404,(310) 458-8237,https://www.santamonica.gov/programs/pickleball,Outdoor,16,0,16
Seal Beach Tennis Club,3900 Lampson Ave,Seal Beach,CA,90740,,,Outdoor,9,0,9
Van Nuys Sherman Oaks Recreation Center,14201 Huston St,Sherman Oaks,CA,91423,(818) 783-5122,https://www.laparks.org/pickleball,Indoor,1,1,0
iPickle The Narrows,1201 Potrero Ave,South El Monte,CA,91733,(626) 944-0453,https://whittiernarrows.i-tennis.com/pickleball/,Outdoor,28,0,28
iPickle Arroyo Seco,920 Lohman Lane,South Pasadena,CA,91030,(323) 258-4178,https://ipickle.com/south-pasadena/,Outdoor,12,0,12
Sunland Recreation Center,8651 Foothill Blvd,Sunland,CA,91040,(818) 352-5282,https://www.laparks.org/pickleball,Indoor,1,1,0
Tarzana Recreation Center,5655 Vanalden Ave,Tarzana,CA,91356,(818) 343-4721,https://www.laparks.org/pickleball,Indoor,1,1,0
Veterans Sports Park,1302 Service Rd,Tustin,CA,92780,,https://www.tustinca.org/1140/Pickleball,Outdoor,8,0,8
Delano Recreation Center,15100 Erwin St,Van Nuys,CA,91411,(818) 756-8529,https://www.laparks.org/pickleball,Indoor,1,1,0
Wolf and Bear Indoor Pickleball,14911 Calvert St,Van Nuys,CA,91411,(818) 398-3440,https://www.wolfandbearpickleball.com/,Indoor,12,12,0
Penmar Recreation Center,1341 Lake St,Venice,CA,90291,(310) 396-8735,https://www.laparks.org/pickleball,Outdoor,8,0,8
Venice Beach Recreation Center,1800 Ocean Front Walk,Venice,CA,90291,(310) 396-6764,https://www.laparks.org/pickleball,Outdoor,3,0,3
Center Court - Rooftop Pickleball (Kimpton La Peer Hotel),733 West Knoll Drive,West Hollywood,CA,90069,(424) 303-5932,https://www.lapeerhotel.com/events/center-court/,Outdoor,1,0,1
West Hollywood Park Pickleball,West Hollywood Park,West Hollywood,CA,90069,,https://www.weho.org/community/recreation-services/pickleball,Outdoor,6,0,6
Woodland Hills Recreation Center,5858 Shoup Ave,Woodland Hills,CA,91367,(818) 883-9370,https://www.laparks.org/pickleball,Both,3,1,2
West Coast Pickleball,23061 Savi Ranch Pkwy,Yorba Linda,CA,92887,,https://www.wcpb.com/,Both,10,6,4
